0,0.013,-0.002,0.000,park_room
1,1.974,-4.191,-1.604,door_a
2,1.912,-5.936,1.512,door_b
3,-1.948,0.565,3.132,charge_room_1
4,6.454,0.341,1.588,room_1
5,2.314,9.008,3.138,room_2
6,2.210,7.412,3.095,room_3
7,2.025,-1.783,3.092,room_4
8,1.754,-8.519,3.139,room_5
9,1.626,-12.511,-3.101,room_6
10,1.570,-16.568,3.136,room_7
11,1.526,-18.050,-3.134,room_8
12,1.274,-24.760,-3.137,room_9
13,1.197,-26.012,3.127,room_10
14,0.983,-32.709,3.127,room_11
15,0.914,-34.064,-3.136,room_12
16,0.718,-38.126,3.129,room_13
17,0.610,-40.143,1.508,room_14
18,-2.365,-6.129,-3.095,room_16
